;bonzjcpcsw;apfdqnuvia;pktkiaimru;hoddupqckr;txnwytfvwx;randasgnuw;mlhnsssmav;uvodhibkxv;fbtpqayevl;xkuaybwmuv;zolpnvugxb;ksqxsyqubc;qtxypuehvz;ymgvruhtgg;klcfxrgufk;pverkuihiu;mnbprjkfyf;piezgilpcm;qqqaafllty;lsgzbmtviq;hjwhxwbdyl;odfjoeldsj;sefkvcwcuk;iqejuldizn;zotpvjrzld;doafdnjirt;yvrsmclezw;lbpazoqsys;kqzjrefbto;pztfbqycfb;mpompiyysw;tqvyreubzr;jaobmemtvi;ouomoxfdks;kxvzrtnzxl;hohsalzdma;fcdzgkqenu;zxkshqfnfr;aqzbcbsltr;xxywhvlbgr;qlwgtlhuxq;ybzunecfuw;tuxbwsmyle;offjcfmrrl;gquerqohqp;rixwjdrrao;hgamoqiubf;cgtewbqqlr;qujzrcphgy;wqncygzvxx;uynsvkwhho;okmtesfmoo;mfjadfwjbb;nfjvtzgwix;ndvixljtzz;nbwilsslbi;rsiciiiadk;rsiguvdkga;jkyfplihil;maedzopygg;oysgmztqqb;mnppusukkr;cspeidakyq;cjepnhxkgk;fkyrxlekpm;mgmdswmihq;dbbkwjmxwm;uoffnmpjsw;zvxaytdxqg;meisfgzuoq;qnumhyegwc;ukghxgueou;zkwlexaigo;zxanszcdwk;zhhcsiucql;zljvstsvyf;llldzgquyl;jyopoiubxg;gxpjptiiid;vprglzften;eaboctxegy;shxbibsblz;nsxcgbwbwu;czoaezqfqa;osflderbjn;xspfvlraal;qyubttsxwi;cazqzodnpq;vsexokntld;tvcgzxahbi;vvgqshfnhw;ivnwpatmol;jewiapfokf;npnfaigipa;bkzwssnugl;nktmbxflzt;pzjiapfewh;btuwjiznwv;ipgsqssxrf;etoxrtkhsg
zolpnvugxb;0;0;0;3;7;0;3;1;5;5;0;5;0;6;5;3;0;8;0;0;8;0;7;0;5;0;0;0;7;2;7;0;6;0;0;0;9;0;0;4;6;0;3;5;0;0;4;0;3;2;0;0;0;0;2;0;0;3;9;0;8;0;0;0;5;1;8;2;1;0;0;0;0;0;5;9;0;0;0;5;6;0;4;2;5;0;0;9;0;0;5;3;0;0;5;0;5;4;0;0;
ksqxsyqubc;0;0;0;0;0;7;0;2;4;0;0;8;8;0;1;1;3;9;1;0;0;0;4;4;0;0;0;0;4;6;0;0;0;1;0;0;0;5;3;4;0;0;1;9;0;5;1;4;0;0;0;0;0;0;4;8;4;0;0;0;3;0;1;0;6;8;6;3;0;0;0;3;0;9;9;6;0;0;6;0;3;7;0;0;0;1;6;0;0;3;6;0;0;8;0;8;0;2;0;9;
qtxypuehvz;0;0;9;1;4;2;0;0;0;5;0;0;4;0;7;4;6;9;3;1;9;0;8;0;1;0;0;4;0;0;1;1;5;0;5;4;4;7;4;8;1;0;0;3;0;6;0;6;1;0;0;5;2;2;0;4;2;0;7;0;0;2;2;1;3;0;0;7;3;0;0;4;0;8;0;0;2;0;8;0;0;0;4;1;8;0;9;0;0;0;0;7;2;0;9;0;0;0;7;7;
ymgvruhtgg;0;0;0;6;0;0;5;2;6;0;3;5;0;1;0;0;8;5;0;9;0;7;8;0;0;5;0;3;9;2;4;0;0;0;0;0;1;2;9;7;0;0;1;0;0;0;0;0;0;8;8;0;6;4;3;4;0;0;0;9;9;0;6;6;6;6;0;0;4;0;0;0;0;9;1;9;6;0;3;0;2;0;7;0;0;7;1;0;3;0;0;7;0;0;0;7;0;0;0;6;
klcfxrgufk;7;0;0;2;1;0;2;0;0;0;0;5;0;7;3;4;4;4;1;0;0;0;0;2;8;2;5;8;0;0;0;0;0;0;0;0;4;0;8;7;0;0;0;2;0;8;0;0;2;0;0;9;0;0;7;8;0;0;6;2;2;7;3;0;0;7;9;0;0;7;7;2;9;9;0;0;0;0;3;0;6;0;0;0;0;6;0;0;3;8;2;6;0;0;0;0;2;8;0;0;
pverkuihiu;0;0;0;7;0;0;0;0;6;0;3;0;0;0;3;0;8;4;3;5;0;0;7;1;0;0;0;7;0;2;0;0;2;8;5;0;0;2;7;0;6;3;6;7;0;6;0;0;7;8;0;7;7;6;0;5;0;6;0;0;0;9;0;0;0;1;6;1;0;0;6;0;0;3;0;0;1;3;3;8;0;4;3;1;7;0;0;0;6;0;6;3;0;7;5;0;0;8;4;0;
mnbprjkfyf;0;6;0;0;0;3;7;0;4;0;0;8;1;0;9;7;4;0;3;7;0;5;8;8;8;2;0;0;1;3;0;7;0;0;3;0;4;0;0;9;8;0;0;5;5;2;0;4;1;8;6;0;0;8;3;1;0;0;0;3;0;5;8;2;0;5;5;9;8;9;0;1;0;0;6;1;5;0;0;7;0;4;0;0;0;6;7;0;6;0;3;0;0;0;4;0;0;0;3;0;
piezgilpcm;1;3;0;0;0;0;5;0;0;0;2;6;0;0;9;0;3;6;0;4;4;8;7;0;4;3;2;0;5;4;4;0;0;4;8;1;0;0;0;0;2;0;9;7;0;7;0;1;0;0;0;8;5;9;2;0;0;0;1;2;0;0;3;6;0;1;3;0;3;0;7;0;9;8;0;8;0;0;5;7;0;5;2;4;0;8;8;0;0;4;9;0;1;9;6;0;6;0;1;0;
qqqaafllty;2;9;0;5;3;0;3;1;0;0;0;1;5;6;0;0;8;4;1;0;3;8;0;0;0;0;1;0;0;1;0;0;0;2;0;0;6;1;7;8;0;7;3;0;6;7;0;0;0;0;0;1;1;0;0;0;0;9;8;6;5;0;6;0;2;5;9;0;5;0;0;4;0;3;8;7;0;7;0;0;0;3;3;4;0;0;6;3;0;7;2;0;0;0;8;8;5;0;0;3;
lsgzbmtviq;1;0;8;0;1;0;8;0;0;0;6;0;0;0;9;4;9;0;0;6;0;6;0;7;0;0;4;0;0;0;0;0;3;4;5;8;0;0;0;3;1;3;0;0;0;0;7;1;9;0;5;5;3;0;8;0;0;7;0;0;1;8;0;4;6;5;8;1;0;0;9;0;0;9;0;6;8;9;1;7;6;9;0;9;0;0;0;1;5;9;0;0;0;0;0;0;0;5;6;0;
hjwhxwbdyl;0;0;2;4;8;6;9;6;8;0;5;0;6;2;1;9;6;0;6;0;9;0;0;3;5;4;0;8;0;5;0;7;0;0;5;9;0;4;1;9;9;1;0;6;6;0;0;5;6;6;0;7;7;0;0;0;8;0;7;0;0;1;0;0;0;0;2;0;2;8;0;6;8;0;2;0;9;0;0;0;0;0;0;6;7;0;0;3;5;0;0;0;0;9;1;0;4;0;2;0;
odfjoeldsj;0;0;0;5;3;0;7;4;2;0;4;0;0;0;8;9;0;0;3;7;3;0;0;0;9;6;6;7;9;9;2;0;0;5;7;0;0;3;2;4;0;9;0;5;0;0;4;0;0;9;0;4;0;1;0;4;6;9;0;0;0;0;6;1;2;9;3;0;5;8;0;0;9;1;0;0;1;8;0;0;0;2;9;0;0;0;0;3;0;6;0;0;0;4;0;7;0;2;0;9;
sefkvcwcuk;0;0;0;9;8;0;5;8;0;3;0;2;3;5;0;6;0;2;3;3;4;0;9;0;0;0;0;8;0;0;0;0;0;6;0;0;2;0;0;1;5;2;0;0;0;0;0;7;0;0;0;0;0;0;1;2;0;2;6;9;0;2;0;5;0;0;0;4;0;0;4;0;0;2;0;0;8;8;0;0;0;9;0;0;8;0;0;6;0;3;3;0;4;0;0;4;0;5;9;2;
iqejuldizn;0;9;2;0;7;0;0;8;8;8;0;6;0;0;1;0;0;0;5;0;0;0;0;4;5;6;0;0;0;4;0;2;0;2;6;0;0;6;0;0;5;0;0;5;2;0;0;3;0;0;0;8;6;9;3;8;0;2;1;0;0;0;0;0;4;0;0;9;9;0;6;7;0;0;0;1;4;0;0;0;0;3;2;3;4;0;1;5;0;7;4;6;4;4;0;0;1;7;0;9;
zotpvjrzld;9;0;1;7;2;5;8;9;0;0;0;0;3;2;8;1;0;0;4;0;9;1;3;0;0;9;0;5;0;6;0;7;0;6;2;0;0;0;0;5;5;0;6;0;5;3;6;0;0;0;0;0;0;0;8;4;3;2;1;6;0;8;1;0;2;7;4;2;9;8;0;4;0;8;0;5;0;7;0;0;6;0;0;6;0;0;1;5;0;6;0;9;9;1;0;1;5;1;0;0;
doafdnjirt;8;0;0;5;8;4;0;0;0;0;0;0;4;0;0;3;6;0;0;3;0;9;9;5;1;4;7;1;0;0;9;0;0;5;0;6;7;8;7;2;0;8;0;0;6;5;0;0;0;4;2;6;0;7;0;1;8;3;4;0;4;0;8;0;2;0;0;2;0;0;5;0;0;0;0;4;9;0;4;0;0;0;0;0;0;0;5;0;1;5;0;1;0;9;0;2;0;8;1;2;
yvrsmclezw;4;0;0;1;8;0;5;4;0;8;0;0;0;0;6;4;4;0;7;0;0;3;0;1;0;2;6;5;6;0;1;2;3;5;0;0;3;2;5;0;2;7;0;8;0;5;0;9;7;7;0;8;5;9;6;0;0;2;0;0;0;0;0;1;7;0;0;1;0;0;0;0;6;4;0;0;0;0;6;0;0;8;2;0;5;0;6;0;0;9;5;4;0;0;3;0;0;0;2;0;
lbpazoqsys;0;0;0;9;0;0;0;0;0;7;3;0;5;7;5;3;0;0;0;0;9;0;0;0;7;7;0;0;1;2;0;0;0;2;0;0;1;0;6;0;0;7;8;6;0;0;3;0;0;0;0;7;0;0;5;0;0;1;0;5;5;0;0;0;4;0;9;0;0;0;0;0;0;0;1;5;3;0;0;0;1;0;9;0;2;5;0;0;0;0;7;6;6;4;1;0;0;2;0;0;
kqzjrefbto;9;0;0;0;4;8;0;0;0;0;4;8;0;0;4;0;0;0;0;6;0;0;6;0;5;2;3;8;0;0;0;8;0;0;0;6;6;7;4;9;5;0;0;7;8;2;0;9;0;0;0;0;3;0;0;1;0;0;1;0;0;0;0;8;0;0;7;0;0;0;6;8;0;2;0;0;0;3;9;0;5;0;9;7;0;4;6;0;2;2;7;0;3;2;4;1;0;3;9;0;
pztfbqycfb;7;2;0;1;0;8;0;4;3;7;0;0;0;0;0;8;7;9;9;1;0;0;6;5;0;0;6;2;4;0;7;8;9;0;0;0;0;0;8;9;0;0;9;0;8;0;0;0;0;0;1;2;1;0;8;0;0;4;9;0;7;9;0;0;0;0;0;0;0;2;7;0;1;9;0;8;0;0;3;0;1;6;0;0;0;0;4;2;6;0;6;2;8;0;1;0;2;0;0;0;
mpompiyysw;7;7;8;0;0;5;3;8;0;0;0;0;0;2;9;4;4;0;8;9;7;0;9;6;8;0;7;1;0;1;0;4;0;1;0;0;1;2;7;5;4;0;8;0;9;5;2;8;0;0;5;0;1;0;2;0;0;9;4;0;0;0;0;5;8;0;9;0;6;2;9;0;7;0;0;4;9;9;3;4;9;0;1;0;0;2;6;0;0;0;5;2;0;2;8;0;6;0;9;3;
tqvyreubzr;7;3;0;9;3;7;0;8;0;4;0;4;0;1;1;0;9;0;0;0;0;3;0;4;0;0;9;3;8;0;0;0;0;0;0;6;7;0;0;8;4;0;0;5;0;1;1;0;0;8;4;0;6;0;0;4;0;7;5;0;1;1;1;0;0;0;1;0;6;7;0;0;2;0;0;4;5;6;4;0;9;0;8;4;2;0;2;2;0;0;7;9;0;0;2;8;9;0;0;7;
jaobmemtvi;5;8;0;0;7;6;0;6;0;0;8;0;2;3;0;6;3;0;0;0;0;9;3;0;1;0;0;0;0;0;9;7;0;4;4;0;0;0;0;8;0;0;0;2;0;0;0;0;0;0;0;7;5;3;6;3;7;7;0;7;0;0;0;6;0;4;1;0;0;5;0;9;5;2;1;9;0;0;0;5;8;8;4;0;9;5;0;0;0;8;6;0;0;7;4;0;0;0;0;8;
ouomoxfdks;2;0;8;9;0;6;6;0;0;1;0;6;3;0;3;0;7;1;4;6;7;3;0;0;0;0;0;0;9;0;8;0;0;0;8;0;0;0;0;4;0;1;0;3;6;0;0;0;4;3;8;5;0;8;0;0;0;4;0;0;9;6;2;0;0;3;0;0;2;2;8;0;0;6;0;0;0;1;6;1;8;0;2;2;9;0;0;0;3;0;1;0;4;3;0;4;0;9;7;5;
kxvzrtnzxl;2;0;8;4;0;1;0;7;0;0;3;0;8;5;0;5;7;4;0;0;6;2;0;7;7;0;0;1;7;0;0;6;0;0;2;0;0;0;3;9;2;0;6;0;9;3;7;0;0;0;4;6;9;5;0;0;0;0;0;0;2;0;0;4;8;9;9;1;3;0;0;0;1;3;0;0;0;0;3;1;5;3;1;3;0;0;0;0;0;2;9;4;0;0;0;9;3;8;7;3;
hohsalzdma;3;5;3;6;0;6;0;0;3;0;0;0;0;0;0;7;8;1;3;0;0;8;0;0;0;7;4;6;0;5;5;0;0;0;0;0;0;0;0;0;6;2;5;0;4;0;4;0;9;0;0;0;4;3;2;8;9;0;0;2;1;0;0;5;0;8;7;0;4;9;0;0;0;0;0;7;7;0;0;0;5;5;0;0;6;7;9;5;0;0;0;0;8;0;0;0;9;6;0;2;
fcdzgkqenu;0;0;0;0;0;0;9;0;1;5;0;0;5;6;9;2;4;7;4;0;7;0;0;5;0;1;8;9;7;0;5;0;0;0;1;6;6;5;6;0;8;0;0;1;2;7;2;5;6;3;0;1;0;4;4;3;9;9;2;7;9;0;0;0;5;0;2;0;8;0;1;0;0;2;6;5;5;0;0;0;6;3;0;4;0;0;0;0;9;0;0;0;3;4;0;3;0;5;0;7;
zxkshqfnfr;0;2;5;6;0;0;4;0;0;0;9;0;0;1;6;0;2;0;1;2;0;5;0;5;9;9;9;8;8;0;0;9;4;0;0;8;8;4;4;6;2;3;0;0;0;4;0;2;4;0;4;0;8;7;9;0;3;0;0;1;0;3;0;0;0;0;0;4;0;0;8;0;4;8;5;4;0;4;0;3;2;0;3;9;8;2;8;6;3;7;5;0;0;0;4;8;9;0;2;5;
aqzbcbsltr;6;1;0;0;0;3;0;8;8;4;0;0;9;0;3;0;0;0;0;0;0;0;8;1;4;4;0;0;0;0;0;0;0;0;0;9;3;7;0;2;8;7;6;0;0;9;9;0;2;0;0;6;0;0;7;0;5;0;0;4;6;2;0;0;0;7;0;7;4;1;7;0;0;9;0;1;0;6;0;0;5;1;0;4;5;1;0;0;0;5;0;0;6;0;1;7;0;0;0;0;
xxywhvlbgr;0;0;0;0;0;0;7;0;0;0;0;0;2;0;0;0;7;1;0;3;0;0;0;6;7;0;0;0;5;8;8;0;0;1;2;8;0;2;0;7;0;9;4;4;1;0;1;8;1;0;3;8;0;0;4;9;0;7;0;6;0;4;5;0;0;5;9;0;0;0;0;7;0;2;0;6;9;0;0;0;2;0;0;0;9;0;1;2;0;0;0;0;0;0;9;0;5;8;0;0;
qlwgtlhuxq;2;0;0;2;0;7;6;0;0;4;7;1;0;0;0;0;0;0;0;0;0;2;9;0;3;9;0;4;0;7;2;0;5;7;0;0;1;9;9;6;6;5;0;3;9;0;7;0;0;0;7;0;1;0;0;0;0;0;7;0;6;0;2;0;0;0;0;7;0;7;4;0;0;9;6;8;2;7;3;1;5;0;0;6;4;1;1;0;9;0;2;0;0;0;0;9;0;0;0;3;
ybzunecfuw;0;0;0;0;0;1;0;8;0;5;0;3;8;1;0;0;5;8;8;9;0;0;0;0;0;0;5;1;0;0;0;0;7;3;7;0;0;7;6;9;5;0;4;0;0;0;4;0;4;0;7;1;0;0;2;8;0;1;8;2;0;2;1;0;0;4;3;0;0;0;0;6;3;0;5;2;0;7;0;1;5;7;0;7;3;0;0;9;2;0;0;0;0;0;0;0;0;0;6;1;
tuxbwsmyle;3;0;3;3;0;0;0;7;9;3;9;6;4;6;0;4;0;1;0;1;0;8;2;0;0;1;5;7;5;0;0;0;0;0;2;5;0;7;5;9;8;0;0;0;3;6;0;0;0;0;1;2;0;0;0;0;6;2;2;6;9;3;9;2;8;1;5;8;0;0;8;0;3;0;0;7;2;9;2;0;0;1;0;0;0;0;0;7;8;6;0;0;8;0;1;0;0;1;7;0;
offjcfmrrl;0;0;0;0;9;2;2;0;2;8;0;6;0;4;0;2;9;0;3;0;0;0;9;0;0;4;0;4;8;0;1;6;6;6;0;0;0;1;8;0;0;0;7;0;3;0;0;7;0;7;1;0;0;0;3;0;3;7;0;0;0;0;4;2;0;4;1;0;0;0;0;0;7;0;1;5;0;0;0;1;3;0;0;6;0;2;3;0;0;6;0;7;0;5;2;2;4;0;3;5;
gquerqohqp;0;0;0;2;3;9;7;0;0;0;0;0;2;0;8;0;3;0;2;0;0;0;6;8;4;6;6;0;0;5;4;5;0;3;6;3;0;0;0;0;0;5;5;0;0;7;3;6;0;8;0;2;0;5;5;0;0;6;8;0;3;2;9;0;8;7;0;0;0;8;0;0;0;9;5;1;0;9;2;7;2;0;0;5;0;8;6;3;0;6;0;6;0;0;7;1;7;8;0;3;
rixwjdrrao;5;0;2;9;0;1;8;0;7;0;9;1;0;8;7;4;9;4;0;1;8;0;0;6;0;4;0;0;0;0;4;8;3;6;5;0;9;8;8;6;0;0;7;9;0;2;5;0;5;6;8;0;0;0;3;9;0;0;8;0;0;5;9;3;0;2;6;0;9;8;7;0;0;3;0;0;6;0;8;2;1;0;8;8;0;7;0;0;2;0;0;0;0;0;0;3;4;6;0;0;
hgamoqiubf;0;8;0;2;2;0;0;6;6;0;0;9;1;0;0;0;0;0;7;0;0;0;0;0;8;5;1;4;4;7;0;6;0;0;0;1;0;9;0;0;5;9;8;2;3;0;0;0;9;0;0;6;7;6;0;0;0;0;0;0;2;6;9;3;5;4;6;8;0;2;0;0;0;9;0;0;0;3;0;0;1;0;7;0;5;0;9;0;8;4;3;0;0;6;4;5;0;0;0;8;
cgtewbqqlr;7;6;3;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;2;0;0;0;7;3;7;0;8;1;9;7;0;2;0;9;2;7;3;7;0;0;7;0;0;6;0;1;9;0;0;2;8;0;0;0;1;0;0;8;5;0;8;4;7;7;7;9;4;9;5;5;4;3;0;0;0;4;3;0;0;8;6;7;5;0;0;7;0;1;0;5;7;0;0;5;8;1;0;0;3;
qujzrcphgy;0;0;6;1;2;8;4;7;0;0;0;0;6;0;0;2;5;9;4;0;4;0;0;6;3;0;7;0;0;0;3;5;3;0;0;4;0;0;3;0;3;0;1;7;0;0;6;0;0;0;0;0;0;0;0;0;9;8;1;2;1;6;0;1;0;3;0;0;7;1;0;0;7;0;0;7;0;7;3;4;6;4;0;8;0;0;0;0;0;8;5;0;7;0;4;9;0;0;0;0;
wqncygzvxx;0;9;0;9;0;7;1;0;1;8;3;2;0;8;5;4;0;0;3;9;5;5;8;0;6;0;0;0;8;1;9;0;7;0;0;0;6;0;7;0;0;4;0;0;3;0;6;7;7;1;6;7;7;3;8;5;6;0;6;2;0;1;0;0;0;0;0;4;0;0;0;7;3;0;0;2;3;0;7;4;0;6;9;0;0;6;9;9;5;0;2;6;0;8;0;0;0;0;0;0;
uynsvkwhho;8;0;0;0;0;6;0;0;2;0;0;6;0;0;0;0;0;0;0;0;0;0;9;0;3;1;2;6;7;2;1;0;7;0;5;0;0;0;0;9;0;0;0;1;0;0;0;0;0;0;3;0;0;4;3;4;9;8;4;5;0;7;0;6;0;2;0;0;0;0;8;5;9;9;0;6;0;9;0;0;2;8;0;0;1;2;6;0;6;3;7;0;5;3;5;1;9;5;1;0;
okmtesfmoo;5;0;6;7;7;0;1;2;0;0;5;0;1;0;3;3;0;0;6;6;0;6;9;3;5;0;9;8;0;7;2;4;0;6;5;3;0;0;8;0;0;4;0;0;0;4;0;5;0;0;6;0;3;0;0;0;0;9;0;3;0;0;7;0;3;1;1;2;0;0;0;8;0;4;0;9;3;0;3;0;0;0;4;4;7;4;0;0;0;6;8;9;7;0;0;0;9;0;0;8;
mfjadfwjbb;0;2;0;0;0;9;0;0;0;0;0;0;0;1;3;0;0;0;8;9;2;2;0;3;2;0;3;9;0;0;0;3;1;1;0;0;1;7;0;1;0;0;0;0;7;6;2;9;1;0;3;2;0;1;0;5;0;0;7;0;0;0;5;0;0;0;3;5;6;4;9;2;0;5;0;0;1;0;0;0;0;3;8;1;0;7;0;8;0;6;0;0;6;0;5;7;9;2;0;7;
nfjvtzgwix;0;1;4;6;2;8;6;0;3;9;6;5;7;4;0;4;0;0;4;3;4;8;0;9;0;2;0;0;0;0;2;9;0;0;2;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;6;0;5;7;0;0;5;0;0;0;3;0;0;9;7;0;0;0;0;2;0;0;0;5;0;0;4;0;8;2;0;0;9;0;0;1;7;7;1;3;1;0;0;0;0;8;0;0;4;
ndvixljtzz;5;1;4;0;0;0;0;0;0;3;8;0;7;7;1;0;5;3;0;8;0;8;0;9;7;0;0;0;2;8;0;0;6;5;5;0;0;3;3;2;3;5;0;3;4;4;0;0;0;0;2;0;0;2;6;0;9;2;0;4;0;2;0;0;0;0;6;6;0;5;3;0;1;4;5;0;0;6;4;0;6;0;0;0;3;3;0;2;0;3;1;7;9;8;1;1;8;0;0;8;
nbwilsslbi;0;0;4;8;7;5;8;0;0;0;0;7;8;0;0;0;6;1;0;6;0;6;6;0;0;8;0;0;1;3;4;0;0;0;0;5;0;0;0;0;6;0;0;1;0;0;5;5;7;0;2;7;2;6;0;5;0;8;9;9;4;0;7;0;0;0;3;6;0;7;9;0;2;9;6;2;0;6;0;0;1;6;0;0;1;0;7;8;2;0;4;0;6;0;2;7;1;0;6;0;
rsiciiiadk;0;4;9;0;0;0;0;7;0;0;0;8;0;0;5;0;9;3;2;2;0;8;0;0;9;9;6;7;9;3;0;9;7;0;1;5;6;0;0;2;7;9;0;0;8;3;0;0;5;7;1;0;9;0;0;9;1;0;0;0;4;6;0;0;0;2;8;8;0;0;0;4;7;3;0;0;0;9;6;0;0;8;1;8;8;1;0;7;8;0;0;0;0;9;8;0;6;3;0;4;
rsiguvdkga;0;0;0;0;0;0;0;6;0;0;1;5;8;0;3;6;0;5;9;1;0;0;0;0;0;0;0;4;7;0;0;8;0;0;0;0;4;5;0;2;2;0;0;9;7;5;0;0;2;0;0;0;0;9;6;0;0;0;7;0;0;2;0;0;0;5;0;8;9;0;1;0;6;9;8;3;0;2;0;8;0;5;0;1;0;0;6;6;6;0;0;9;0;0;0;0;8;0;0;0;
